"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"5409","Normal/Others","WS/MP141/2024-2025/141800-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28)","Sitting Rajya Sabha","construction of pathway and drains","19-Sep-2024","100000","06-Nov-2024"
"5410","Normal/Others","WS/MP141/2024-2025/141801-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28)","Sitting Rajya Sabha","construction of drains","19-Sep-2024","200000","23-Sep-2024"
"5411","Normal/Others","WS/MP141/2024-2025/141802-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Punjab","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28)","Sitting Rajya Sabha","renovation of cremation ground","19-Sep-2024","300000","25-Sep-2024"
"5412","Normal/Others","WS/MP141/2024-2025/141803-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28)","Sitting Rajya Sabha","construction of pathway and drains","19-Sep-2024","200000","23-Sep-2024"
"5413","Normal/Others","WS/MP141/2024-2025/141804-Development of playfields and sports grounds","Punjab","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28)","Sitting Rajya Sabha","renovation of sports park","19-Sep-2024","200000","23-Sep-2024"
"5414","Normal/Others","WS/MP141/2024-2025/141805-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28)","Sitting Rajya Sabha","construction of pathway and drains","19-Sep-2024","200000","23-Sep-2024"
"5415","Normal/Others","WS/MP141/2024-2025/141806-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28)","Sitting Rajya Sabha","construction of pathway and drains","19-Sep-2024","200000","23-Sep-2024"
"5416","Normal/Others","WS/MP187/2025-2026/141825-Construction of rooms and halls in school and colleges","Uttar Pradesh","MORADABAD(DISTRICT MAGISTRATE MORADABAD_IDA)","Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","EVERGREEN KOHINOOR HIGHER SECONDARY SCHOOL, BYPASS ROAD, BILARI. DIST. MORADABAD CONSTRUTION OF  CLASS ROOM. COST= Rs. 10,00,000/-","19-Sep-2024","1000000","27-Jan-2026"
"5417","Normal/Others","NA-Construction of rooms and halls in school and colleges","Uttar Pradesh","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","MAYADEVI HIGHER SECONDARY SCHOOL, BISHARU, DIST. SAMBHAL CONSTRUCTION OF CLASS ROOMS, Cost= 5,00,000/-","19-Sep-2024","500000","NA"
"5418","Normal/Others","WS/MP187/2024-2025/141827-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","GRAM RAYAN BUJURG MEIN ASRAR KE MAKAN SE SARKARI SCHOOL TAK CC ROAD. Length= 114 Mtrs.  Cost= 826636/-","19-Sep-2024","826000","21-Oct-2024"
"5419","Normal/Others","WS/MP187/2024-2025/141828-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","MAIN ROAD SE GAON KE OR 140 Mtrs CC TILES. Cost= 1573352/-","19-Sep-2024","1573000","21-Oct-2024"
"5420","Normal/Others","WS/MP187/2025-2026/141829-Construction of rooms and halls in school and colleges","Uttar Pradesh","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","JILANI RABIYA MODERN PUBLIC SCHOOL, RATUPUR MEIN CONSTRUTION OF CLASS ROOMS. Cost= 5,00,000/-","19-Sep-2024","499000","10-Dec-2025"
"5421","Normal/Others","WS/MP187/2025-2026/141831-Construction of rooms and halls in school and colleges","Uttar Pradesh","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","MATA BHAWANI UCHCH MADHYAMIK VIDYALAYA, MANCHOBHA, BLOCK PALHANI, DIST. AZAMGARH MEIN CONSTRUTION OF CLASS ROOMS, Cost.= Rs. 5,00,000/-","19-Sep-2024","500000","12-Feb-2026"
"5422","Normal/Others","WS/MP187/2024-2025/141869-Lighting of public spaces","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","Installation of:  1. One high mast light of 9 mts hight cost Rs.135000.  2. Solar lights 20 Pcs cost Rs.13000x20=260000, in Muslim Qabristan sector 123 Noida. Contact person Shri Ayub Ansari Phone: 9818299169","19-Sep-2024","546420","27-Feb-2025"
"5423","Normal/Others","WS/MP162/2024-2025/141873-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri S. Kalyanasundaram (2022-28)","Sitting Rajya Sabha","Providing Bituminous macadam road at Cross Street in Vasantha Babu Nagar,Arumbanur Village, Madurai District.","24-Sep-2024","995492","24-Dec-2024"
"5424","Normal/Others","WS/MP162/2024-2025/141874-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri S. Kalyanasundaram (2022-28)","Sitting Rajya Sabha","Providing Bituminous macadam road at Meenakshi Ambal Nagar Street in Arumbanur Village, Madurai District.","24-Sep-2024","995826","24-Dec-2024"
"5425","Normal/Others","WS/MP162/2024-2025/141875-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri S. Kalyanasundaram (2022-28)","Sitting Rajya Sabha","Providing Bituminous macadam road at 1st Street in Alagumalayan Nagar, Arumbanur Village, Madurai District.","24-Sep-2024","996469","24-Dec-2024"
"5426","Normal/Others","WS/MP892/2025-2026/141881-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","Gujarat","NARMADA(DISTRICT COLLECTOR NARMADA_IDA)","Shri S. Jaishankar (2023-29)","Sitting Rajya Sabha","Construction of New LDR Complex Building (Maternity Complex with Roof Top Solar Facility) at PHC Sagai, Taluka Dediapada, Distt. Narmada","20-Sep-2024","17704600","24-Sep-2025"
"5427","Normal/Others","WS/MP892/2025-2026/141882-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","Gujarat","NARMADA(DISTRICT COLLECTOR NARMADA_IDA)","Shri S. Jaishankar (2023-29)","Sitting Rajya Sabha","Construction of New LDR Complex Building (Maternity Complex with Roof Top Solar Facility) at PHC Kolvan, Taluka Sagbara, Distt. Narmada","20-Sep-2024","17704600","24-Sep-2025"
"5428","Normal/Others","WS/MP892/2025-2026/141883-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","Gujarat","NARMADA(DISTRICT COLLECTOR NARMADA_IDA)","Shri S. Jaishankar (2023-29)","Sitting Rajya Sabha","Construction of New LDR Complex Building (Maternity Complex with Roof Top Solar Facility) at PHC Jetpor, Taluka Garudeshwar, Distt. Narmada","20-Sep-2024","17704600","24-Sep-2025"
"5429","Normal/Others","WS/MP892/2025-2026/141884-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","Gujarat","NARMADA(DISTRICT COLLECTOR NARMADA_IDA)","Shri S. Jaishankar (2023-29)","Sitting Rajya Sabha","Construction of New LDR Complex Building (Maternity Complex with Roof Top Solar Facility) at PHC Agar, Taluka Tilakwada, Distt. Narmada","20-Sep-2024","17704600","24-Sep-2025"
"5430","Normal/Others","WS/MP892/2024-2025/141885-Purchase of vans and buses for educational institutions","Gujarat","NARMADA(DISTRICT COLLECTOR NARMADA_IDA)","Shri S. Jaishankar (2023-29)","Sitting Rajya Sabha","Purchase of Transport Vehicle at Jawahar Navodaya Vidyalaya, Kevadia Colony, Distt. Narmada","20-Sep-2024","923357","10-Jan-2025"
"5431","Normal/Others","WS/MP162/2024-2025/141886-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri S. Kalyanasundaram (2022-28)","Sitting Rajya Sabha","Providing Bituminous macadam road at 2nd Street in Alagumalayan Nagar, Arumbanur Village, Madurai District.","24-Sep-2024","994717","24-Dec-2024"
"5432","Normal/Others","WS/MP162/2024-2025/141887-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri S. Kalyanasundaram (2022-28)","Sitting Rajya Sabha","Providing Bituminous macadam road at 3rd Street in Alagumalayan Nagar, Arumbanur Village, Madurai District.","24-Sep-2024","995587","24-Dec-2024"
"5433","Normal/Others","WS/MP831/2025-2026/141891-Construction of culverts and bridges","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28)","Sitting Rajya Sabha","Construction of Box Culvert at Shymthaibary Village road under Bangaldaba VCDC,","20-Sep-2024","1000000","28-Jan-2026"
"5434","Normal/Others","WS/MP892/2024-2025/141903-Construction of toilet blocks","Gujarat","NARMADA(DISTRICT COLLECTOR NARMADA_IDA)","Shri S. Jaishankar (2023-29)","Sitting Rajya Sabha","Construction of New Boy's Toilet at Anjanvai Primary School, Anjanvai, Taluka Dediapada, Distt. Narmada","20-Sep-2024","232666","26-Nov-2024"
"5435","Normal/Others","WS/MP892/2024-2025/141904-Construction of toilet blocks","Gujarat","NARMADA(DISTRICT COLLECTOR NARMADA_IDA)","Shri S. Jaishankar (2023-29)","Sitting Rajya Sabha","Construction of New Girl's Toilet at Khaidipada Primary School, Khaidipada, Taluka Dediapada, Distt. Narmada","20-Sep-2024","280219","26-Nov-2024"
"5436","Normal/Others","WS/MP892/2024-2025/141907-Construction of toilet blocks","Gujarat","NARMADA(DISTRICT COLLECTOR NARMADA_IDA)","Shri S. Jaishankar (2023-29)","Sitting Rajya Sabha","Construction of New Boy's and Girl's Toilet at Kasundar Primary School, Kasundar, Taluka Tilakwada, Distt. Narmada","20-Sep-2024","232666","26-Nov-2024"
"5437","Normal/Others","WS/MP892/2024-2025/141909-Construction of toilet blocks","Gujarat","NARMADA(DISTRICT COLLECTOR NARMADA_IDA)","Shri S. Jaishankar (2023-29)","Sitting Rajya Sabha","Construction of New Boy's Toilet at Mangu Primary School, Mangu, Taluka Tilakwada, Distt. Narmada","20-Sep-2024","232666","26-Nov-2024"
"5438","Normal/Others","WS/MP892/2024-2025/141910-Construction of toilet blocks","Gujarat","NARMADA(DISTRICT COLLECTOR NARMADA_IDA)","Shri S. Jaishankar (2023-29)","Sitting Rajya Sabha","Construction of New Girl's Toilet at Gansinda Primary School, Gansinda, Taluka Tilakwada, Distt. Narmada","20-Sep-2024","280219","26-Nov-2024"
"5439","Normal/Others","WS/MP162/2024-2025/141919-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri S. Kalyanasundaram (2022-28)","Sitting Rajya Sabha","Providing Bituminous macadam road at 4th Street Alagumalayan Nagar, Arumbanur Village, Madurai District.","24-Sep-2024","996192","24-Dec-2024"
"5440","Normal/Others","WS/MP162/2024-2025/141921-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri S. Kalyanasundaram (2022-28)","Sitting Rajya Sabha","Providing Bituminous macadam road at Cross Street Alagumalayan Nagar, Arumbanur Village, Madurai District.","24-Sep-2024","994571","24-Dec-2024"
"5441","Normal/Others","WS/MP162/2024-2025/141932-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri S. Kalyanasundaram (2022-28)","Sitting Rajya Sabha","Providing Bituminous macadam road at 1st Street in Ambedkar Nagar, Arumbanur Village, Madurai District.","24-Sep-2024","995689","24-Dec-2024"
"5442","Normal/Others","WS/MP162/2024-2025/141933-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri S. Kalyanasundaram (2022-28)","Sitting Rajya Sabha","Providing Bituminous macadam road at 2nd Street in Ambedkar Nagar, Arumbanur Village, Madurai District.","24-Sep-2024","996077","24-Dec-2024"
"5443","Normal/Others","WS/MP892/2024-2025/141934-Purchase of smart boards, visual display units and projectors","Gujarat","NARMADA(DISTRICT COLLECTOR NARMADA_IDA)","Shri S. Jaishankar (2023-29)","Sitting Rajya Sabha","Smart Classrooms in Government Primary School Amadla, Amadla, Taluka Garudeshwar, Distt. Narmada","20-Sep-2024","496251","26-Dec-2024"
"5444","Normal/Others","WS/MP892/2024-2025/141935-Purchase of smart boards, visual display units and projectors","Gujarat","NARMADA(DISTRICT COLLECTOR NARMADA_IDA)","Shri S. Jaishankar (2023-29)","Sitting Rajya Sabha","Smart Classrooms in Government Primary School Malsamot, Samot, Taluka Dediapada, Distt. Narmada","20-Sep-2024","496251","26-Dec-2024"
"5445","Normal/Others","WS/MP892/2024-2025/141936-Purchase of smart boards, visual display units and projectors","Gujarat","NARMADA(DISTRICT COLLECTOR NARMADA_IDA)","Shri S. Jaishankar (2023-29)","Sitting Rajya Sabha","Smart Classrooms in Government Primary School Lachhras, Lachhras, Taluka Nandod, Distt. Narmada","20-Sep-2024","496251","26-Dec-2024"
"5446","Normal/Others","WS/MP892/2024-2025/141937-Purchase of smart boards, visual display units and projectors","Gujarat","NARMADA(DISTRICT COLLECTOR NARMADA_IDA)","Shri S. Jaishankar (2023-29)","Sitting Rajya Sabha","Smart Classrooms in Government Primary School Bhadod, Bhadod, Taluka Sagbara, Distt. Narmada","20-Sep-2024","496251","26-Dec-2024"
"5447","Normal/Others","WS/MP892/2024-2025/141938-Purchase of smart boards, visual display units and projectors","Gujarat","NARMADA(DISTRICT COLLECTOR NARMADA_IDA)","Shri S. Jaishankar (2023-29)","Sitting Rajya Sabha","Smart Classrooms in Government Primary School Vyadhar, Vyadhar, Taluka Tilakwada, Distt. Narmada","20-Sep-2024","496251","26-Dec-2024"
"5448","Normal/Others","WS/MP892/2024-2025/141939-Purchase of non-conventional energy system and devices for community use","Gujarat","NARMADA(DISTRICT COLLECTOR NARMADA_IDA)","Shri S. Jaishankar (2023-29)","Sitting Rajya Sabha","Setting Up Solar Roof Top System at Government Primary School Lachhras, Lachhras, Taluka Nandod, Distt. Narmada","20-Sep-2024","184925","26-Dec-2024"
"5449","Normal/Others","WS/MP892/2024-2025/141940-Purchase of non-conventional energy system and devices for community use","Gujarat","NARMADA(DISTRICT COLLECTOR NARMADA_IDA)","Shri S. Jaishankar (2023-29)","Sitting Rajya Sabha","Setting Up Solar Roof Top System at Government Primary School Malsamot, Samot, Taluka Dediapada, Distt. Narmada","20-Sep-2024","184925","26-Dec-2024"
"5450","Normal/Others","WS/MP892/2024-2025/141941-Purchase of non-conventional energy system and devices for community use","Gujarat","NARMADA(DISTRICT COLLECTOR NARMADA_IDA)","Shri S. Jaishankar (2023-29)","Sitting Rajya Sabha","Setting Up Solar Roof Top System at Government Primary School Amadla, Amadla, Taluka Garudeshwar, Distt. Narmada","20-Sep-2024","184925","26-Dec-2024"
"5451","Normal/Others","WS/MP892/2024-2025/141942-Purchase of non-conventional energy system and devices for community use","Gujarat","NARMADA(DISTRICT COLLECTOR NARMADA_IDA)","Shri S. Jaishankar (2023-29)","Sitting Rajya Sabha","Setting Up Solar Roof Top System at Government Primary School Bhadod, Bhadod, Taluka Sagbara, Distt. Narmada","20-Sep-2024","300000","26-Dec-2024"
"5452","Normal/Others","WS/MP892/2024-2025/141943-Purchase of non-conventional energy system and devices for community use","Gujarat","NARMADA(DISTRICT COLLECTOR NARMADA_IDA)","Shri S. Jaishankar (2023-29)","Sitting Rajya Sabha","Setting Up Solar Roof Top System at Government Primary School Vyadhar, Vyadhar, Taluka Tilakwada, Distt. Narmada","20-Sep-2024","300000","26-Dec-2024"
"5453","Normal/Others","WS/MP162/2024-2025/141945-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri S. Kalyanasundaram (2022-28)","Sitting Rajya Sabha","Providing Bituminous macadam road at Cross Street in Ambedkar Nagar, Arumbanur Village, Madurai District.","24-Sep-2024","994747","24-Dec-2024"
"5454","Normal/Others","WS/MP162/2024-2025/141946-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri S. Kalyanasundaram (2022-28)","Sitting Rajya Sabha","Providing Bituminous macadam road at 1st Street in Pandurangan Kovil, Arumbanur Village, Madurai District.","24-Sep-2024","995350","23-Dec-2024"
"5455","Normal/Others","WS/MP162/2024-2025/141948-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri S. Kalyanasundaram (2022-28)","Sitting Rajya Sabha","Providing Bituminous macadam road at 2nd Street in Pandurangan Kovil, Arumbanur Village, Madurai District.","24-Sep-2024","996876","30-Dec-2024"
"5456","Normal/Others","WS/MP162/2024-2025/141949-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri S. Kalyanasundaram (2022-28)","Sitting Rajya Sabha","Providing Bituminous macadam road at 1st Street in Victor Nagar, Arumbanur Village, Madurai District.","24-Sep-2024","995689","24-Dec-2024"
"5457","Normal/Others","WS/MP162/2024-2025/141950-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri S. Kalyanasundaram (2022-28)","Sitting Rajya Sabha","Providing Bituminous macadam road at 2nd Street in Victor Nagar, Arumbanur Village, Madurai District.","24-Sep-2024","996115","30-Dec-2024"
"5458","Normal/Others","WS/MP162/2024-2025/141951-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri S. Kalyanasundaram (2022-28)","Sitting Rajya Sabha","Providing Bituminous macadam road at 3rd Street in Victor Nagar, Arumbanur Village, Madurai District.","24-Sep-2024","995390","23-Dec-2024"
"5459","Normal/Others","WS/MP162/2024-2025/141952-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri S. Kalyanasundaram (2022-28)","Sitting Rajya Sabha","Providing Bituminous macadam road at 4th Street in Victor Nagar, Arumbanur Village, Madurai District.","24-Sep-2024","995713","23-Dec-2024"
"5460","Normal/Others","WS/MP162/2024-2025/141953-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri S. Kalyanasundaram (2022-28)","Sitting Rajya Sabha","Providing Bituminous macadam road at 5th Street in Victor Nagar, Arumbanur Village, Madurai District.","24-Sep-2024","994655","23-Dec-2024"
"5461","Normal/Others","WS/MP140/2024-2025/142007-Development of playfields and sports grounds","Punjab","MOGA(Deputy Commissioner Moga)","Shri Sant Balbir Singh (2022-28)","Sitting Rajya Sabha","Regarding to build four walls in the village hockey field","20-Sep-2024","100000","03-Dec-2024"
"5462","Normal/Others","WS/MP140/2024-2025/142008-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","MOGA(Deputy Commissioner Moga)","Shri Sant Balbir Singh (2022-28)","Sitting Rajya Sabha","To construct streets and drains in the village and to install interlock on the roads","20-Sep-2024","1800000","03-Dec-2024"
"5463","Normal/Others","WS/MP140/2024-2025/142018-Construction of community centers and community halls","Punjab","MOGA(Deputy Commissioner Moga)","Shri Sant Balbir Singh (2022-28)","Sitting Rajya Sabha","For construction of SC Dharamshala (LohatBaddi)","20-Sep-2024","500000","03-Dec-2024"
"5464","Normal/Others","WS/MP140/2024-2025/142019-Construction of common work sheds/ common covered sitting area","Punjab","MOGA(Deputy Commissioner Moga)","Shri Sant Balbir Singh (2022-28)","Sitting Rajya Sabha","To put a shed in Ravidas Bhagat Dharamshala","20-Sep-2024","300000","03-Dec-2024"
"5465","Trust and Society","WS/MP113/2025-2026/142031-Construction of buildings for community cultural activities","Maharashtra","BEED(DISTRICT COLLECTOR BEED_IDA)","Shri Imran Pratapgarhi (2022-28)","Sitting Rajya Sabha","Construction of public utility building of Saraswati Kanya Prashala First Floor MAULI VIDHYAPEETH Trust KAIJ","20-Sep-2024","5000000","27-Jun-2025"
"5466","Normal/Others","WS/MP113/2024-2025/142032-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","PARBHANI(DISTRICT COLLECTOR PARBHANI_IDA)","Shri Imran Pratapgarhi (2022-28)","Sitting Rajya Sabha","Construction of CC Road","20-Sep-2024","1999874","01-Oct-2024"
"5467","Normal/Others","WS/MP113/2024-2025/142033-Street lights","Maharashtra","PARBHANI(DISTRICT COLLECTOR PARBHANI_IDA)","Shri Imran Pratapgarhi (2022-28)","Sitting Rajya Sabha","Street Light With Pole","20-Sep-2024","2494852","01-Oct-2024"
"5468","Normal/Others","WS/MP113/2024-2025/142034-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","PARBHANI(DISTRICT COLLECTOR PARBHANI_IDA)","Shri Imran Pratapgarhi (2022-28)","Sitting Rajya Sabha","Construction of cc road","20-Sep-2024","1999846","01-Oct-2024"
"5469","Normal/Others","WS/MP113/2024-2025/142035-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","PARBHANI(DISTRICT COLLECTOR PARBHANI_IDA)","Shri Imran Pratapgarhi (2022-28)","Sitting Rajya Sabha","Construction of CC Road","20-Sep-2024","1999834","01-Oct-2024"
"5470","Normal/Others","WS/MP113/2024-2025/142036-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","PARBHANI(DISTRICT COLLECTOR PARBHANI_IDA)","Shri Imran Pratapgarhi (2022-28)","Sitting Rajya Sabha","Construction of CC Road","20-Sep-2024","1499445","01-Oct-2024"
"5471","Normal/Others","WS/MP113/2024-2025/142040-Construction of community centers and community halls","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Shri Imran Pratapgarhi (2022-28)","Sitting Rajya Sabha","Construction of cultural Hall Near Lalkhapura Makraj Masjid","20-Sep-2024","2000000","14-Oct-2024"
"5472","Normal/Others","WS/MP113/2024-2025/142041-Construction of community centers and community halls","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Shri Imran Pratapgarhi (2022-28)","Sitting Rajya Sabha","Construction of Cultural Hall near jaspura Masjid","20-Sep-2024","2000000","14-Oct-2024"
"5473","Normal/Others","WS/MP113/2024-2025/142042-Construction of boundary walls of existing public and community buildings","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Shri Imran Pratapgarhi (2022-28)","Sitting Rajya Sabha","Construction of boundary wall","20-Sep-2024","1000000","21-Jan-2025"
"5474","Normal/Others","WS/MP113/2024-2025/142046-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","JALNA(DISTRICT COLLECTOR JALNA_IDA)","Shri Imran Pratapgarhi (2022-28)","Sitting Rajya Sabha","Construction of cement road from Javed Pathan House to Rahim Bagwan House","20-Sep-2024","1000000","08-Oct-2024"
"5475","Normal/Others","WS/MP113/2024-2025/142047-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","JALNA(DISTRICT COLLECTOR JALNA_IDA)","Shri Imran Pratapgarhi (2022-28)","Sitting Rajya Sabha","Construction of cement road from Feroz House to Manjur Bagwan House","20-Sep-2024","1000000","08-Oct-2024"
"5476","Normal/Others","WS/MP113/2024-2025/142048-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","JALNA(DISTRICT COLLECTOR JALNA_IDA)","Shri Imran Pratapgarhi (2022-28)","Sitting Rajya Sabha","Construction of cement road from Moosa Shah House to Gaffar Shah House under Village Shahagad Tehsil","20-Sep-2024","1000000","09-Oct-2024"
"5477","Normal/Others","WS/MP113/2024-2025/142049-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","JALNA(DISTRICT COLLECTOR JALNA_IDA)","Shri Imran Pratapgarhi (2022-28)","Sitting Rajya Sabha","Construction of cement road from Amitabh Nhonsale House to Vilasrao Suryavanshi House","20-Sep-2024","1000000","09-Oct-2024"
"5478","Normal/Others","WS/MP113/2024-2025/142050-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","JALNA(DISTRICT COLLECTOR JALNA_IDA)","Shri Imran Pratapgarhi (2022-28)","Sitting Rajya Sabha","Construction of cement road from main road to Patel (Momin) Kabrastan","20-Sep-2024","1000000","08-Oct-2024"
"5479","Normal/Others","WS/MP113/2024-2025/142051-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","JALNA(DISTRICT COLLECTOR JALNA_IDA)","Shri Imran Pratapgarhi (2022-28)","Sitting Rajya Sabha","Paving and Strengthening of road from Gori Jankshan to Lakshmidevi road","20-Sep-2024","1000000","09-Oct-2024"
"5480","Normal/Others","WS/MP113/2024-2025/142052-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","JALNA(DISTRICT COLLECTOR JALNA_IDA)","Shri Imran Pratapgarhi (2022-28)","Sitting Rajya Sabha","Construction of cement road from hadi bhai house to rafiq bhagwan house","20-Sep-2024","1000000","08-Oct-2024"
"5481","Normal/Others","WS/MP113/2024-2025/142053-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","JALNA(DISTRICT COLLECTOR JALNA_IDA)","Shri Imran Pratapgarhi (2022-28)","Sitting Rajya Sabha","Construction of compound wall and cement road at Muslim Kabristan","20-Sep-2024","1000000","09-Oct-2024"
"5482","Normal/Others","WS/MP113/2024-2025/142054-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","JALNA(DISTRICT COLLECTOR JALNA_IDA)","Shri Imran Pratapgarhi (2022-28)","Sitting Rajya Sabha","Construction of compound wall and cement road at Bagwan kabristan","20-Sep-2024","1000000","09-Oct-2024"
"5483","Normal/Others","WS/MP113/2024-2025/142055-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","JALNA(DISTRICT COLLECTOR JALNA_IDA)","Shri Imran Pratapgarhi (2022-28)","Sitting Rajya Sabha","Construction of compound wall and cement road at Pathan Kabrastan","20-Sep-2024","1000000","08-Oct-2024"
"5484","Normal/Others","WS/MP101/2025-2026/142057-Lighting of public spaces","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Shri Sandosh Kumar P (2022-28)","Sitting Rajya Sabha","Installation of High Mast Street Light (10 meters height, 150w*5 bulbs) Aralam GP Ward 6 in the premises of Hospital","23-Sep-2024","382737","07-May-2025"
